 0003401010豊 通 ﾆｭｰﾊﾟｯｸ/ﾚﾝｺﾞｰ(株 089501001160407000016033101    011101000110000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0005402010美 和 工 販 （ 株 ）       079101001000000000022053101    021101000110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0004302016美 和 工 販 （ 株 ）       000101001000000000000000000    011101000110000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0005002030三 陽 工 業 （ 株 ）       066101001000000000022053101    021101000110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0011402036三 陽 工 業 （ 株 ）       000101001000000000000000000    011101000110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0004802040（ 株 ） 青 山 製 作 所     070101002990115000022053101    021109010110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0001502046（ 株 ） 青 山 製 作 所     000101002000000000000000000    011101010110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0017102049（ 株 ） 青 山 製 作 所     000101002000000000000000000    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 000700204Q(株 ） 青 山 製 作 所      070101002000000000000000000    011109010110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0000402050共 栄 金 属 株 式 会 社     076101002990120000022053001    021101000110010050505050510101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000210                                                           
 0001302056共 栄 金 属 株 式 会 社     000101002000000000000000000    011101000110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0005602060（ 株 ） ジ ャ イ ロ       074102002000000000017020102    020100000110000050505050510101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0001402066(株 ） ジ ャ イ ロ        000101001000000000000000000    010100000110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0005302070（ 株 ） 杉 浦 製 作 所     059102002050530000022053002    021101010110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0022202071（ 株 ） 杉 浦 製 作 所     056101001200512000022053101    021101010110010050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000212                                                           
 0005102076（ 株 ） 杉 浦 製 作 所     000102002000000000000000000    011101010110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0057002079㈱ 杉 浦 製 作 所 　 ﾃﾞﾝｿｰ 000101001000000000000000000    000000000000000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0019702080（ 株 ） ニ チ ワ         000101001000000000000000000    021101000110000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0004202200（ 株 ） そ う ぎ ょ う     067101001000000000022053101    021101000110010050505050510101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000210                                                           
 0017302201（ 株 ） そ う ぎ ょ う     000104001000000000022031002    001101010110010050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000210                                                           
 0018902202（ 株 ） そ う ぎ ょ う     067101001000000000022053101    021101000110010050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000200                                                           
 0017402204(株 )そ う ぎ ょ う (ｲﾏｯｸ)083101005000000000022053101    021101010110010050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111                                                           
 0018502205（ 株 ） そ う ぎ ょ う     067101001000000000022053101    020100000110000050505050510101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0001702206（ 株 ） そ う ぎ ょ う     000101001000000000000000000    011101010110010050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000210                                                           
 004780220Q（ 株 ） そ う ぎ ょ う     000101002000000000000000000    011101010110010050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000210                                                           
 004380220S高 木 (ｿｳｷﾞｮｳ発 注 専 用 )000101005000000000000000000    011109000010000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0012302250尾 張 精 機 （ 株 ）       061101004981102000022053101    021101010111010050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000212                                                           
 0007702256尾 張 精 機 （ 株 ）       000101001000000000000000000    011101010111000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 004970225Q尾 張 精 機             081101003000000000000000000    011101000110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0012102260（ 株 ） メ イ ド ー       086201001220602000022053101    021101000110010050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000212                                                           
 0013102290（ 株 ） Ｍ Ｃ シ ス テ ム ズ 081101003000000000022053101    021101000110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 000020229Q(株 ） MCシ ス テ ム ズ 　  081101003000000000000000000    011101000110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0004702340栗 山 産 業 （ 株 ）       089501001160413000016040601    011101000111000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0004502350藤 田 螺 子 工 業 （ 株 ）   089201001170202000017013101    011101010111000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0001202356藤 田 螺 子 工 業 （ 株 ）   000201001000000000000000000    011101010111000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0004102390東 洋 フ ァ ス ナ ー （ 株 ） 074101003200512000022053101    021101010110010050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000212                                                           
 0042602400                    000101001000000000000000000    011001000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0003102610豊 商 （ 株 ）           000201001051220000005121601    011101010110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 004980261Q豊 商 （ 株 ）           000201001000000000000000000    011101010110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0005502716（ 株 ） サ サ ノ 合 成     000501001000000000000000000    011101010110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 004990271Q(株 ） サ サ ノ 合 成 　    083201001000000000000000000    011101000110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0004603070岩 田 工 業 （ 株 ）       050102002000000000022053102    021101110110010050505050510101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000212                                                           
 0040503071岩 田 工 業 （ 株 ）       050102002000000000000000000    001101100110010050505050510102000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000212                                                           
 0002103076岩 田 工 業 （ 株 ）       000101001000000000000000000    011101010110010050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000212                                                           
 004750307Q岩 田 工 業 （ 株 ）       000102004000000000000000000    011101000110010050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000212                                                           
 0040703080城 山 工 業 （ 株 ）  奥  州 000101005000000000000000000    011101110110000050505050510101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 005000308Q城 山 工 業 （ 株 ） 奥 州   000101005000000000000000000    011101110110000050505050510101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0000503090ア ス カ （ 株 ） 本 社     089501001090302000009022301    051101010110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0010303091ア ス カ （ 株 ） 幸 田 工 場 071501001220606000022053001    051101010110000050505050510101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0007303096(株 )ア ス カ  幸 田 工 場  000101001000000000000000000    011101010110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 004800309Q（ 株 ） ア ス カ         000101001000000000000000000    011101010110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0005703100（ 株 ） 中 京 製 作 所     073101003000000000022053101    021101010110010050505050510101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000212                                                           
 0002203106（ 株 ） 中 京 製 作 所     000101003000000000000000000    011101010110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 004810310Q（ 株 ） 中 京 製 作 所     000101003000000000000000000    011101010110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0006103120（ 株 ） 六 高 工 業       000101001000000000000000000    011101010110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0007903126（ 株 ） 六 高 工 業       000201001000000000000000000    011101010110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 005010312Q(株 ） 六 高 工 業        000101001000000000000000000    011101010110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0000603130（ 株 ） 浅 井 工 業 所     090101001000000000022053101    021101010110010050505050510101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000212                                                           
 0040403131（ 株 ） 浅 井 工 業 所     090101001000000000000000000    001101100110010050505050510102000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000212                                                           
 0019103132(株 )浅 井 工 業 所 (ｼﾊﾞﾀ)093101001000000000022053101    021101010110010050505050510101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000212                                                           
 0008803133(株 )浅 井 工 業 所       000101009000000000000000000    011101000110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0002303136（ 株 ） 浅 井 工 業 所     000101001000000000016011401    011101010110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 004710313Q㈱ 浅 井 工 業 所         000101002000000000000000001    011101010110010050505050510101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000212                                                           
 0052803170（ 株 ） 福 島 高 木       069501001220602000022052601    021101110111010050505050510101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111                                                           
 0052303171福 島 高 木             000101001000000000000000001    001001000111010050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111                                                           
 0052903176福 島 高 木             000101001000000000000000000    011101001110000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 006090317S福 島 高 木 （ 支 給 ）     000101003000000000000000000    020000001100000050505050511101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0001603180（ 株 ） マ ル マ ツ       055101001000000000022053101    021101010110010050505050510101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000210                                                           
 0011803181（ 株 ） マ ル マ ツ       000101001000000000000000000    011101010110010050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000200                                                           
 0053703182(株 )マ ル マ ツ         000101001000000000000000000    010000000000000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0002403186（ 株 ） マ ル マ ツ       000101001000000000000000000    011101010110010050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000210                                                           
 0020203187(株 ） マ ル マ ツ   ｶｸﾀﾞｲ000101002000000000014100601    011101000110000050505050510101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0019803188(株 )マ ル マ ツ  ｺｰﾃｨﾝｸﾞ000101002000000000014100601    011101000110000050505050510101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0012403189（ 株 ） マ ル マ ツ       000101002000000000000000000    011101000110000050505050510101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 004820318Q（ 株 ） マ ル マ ツ       000101002000000000000000000    011101010110010050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000210                                                           
 0013203190（ 株 ） 田 中 工 作 所     088501001220602000022052601    071101010110010050505050510101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000212                                                           
 0019303196(株 ） 田 中 工 作 所      000501001000000000000000000    071101000110010050505050510101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000212                                                           
 004830319Q（ 株 ） 田 中 工 作 所     000501001000000000000000000    011101000110010050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000212                                                           
 0043103270松 野 プ レ ス 工 業 （ 株 ） 000101001000000000000000000    011101110111000050505050510101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0044203271松 野 プ レ ス 工 業 （ 株 ） 000101001000000000022053101    001001000111001050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111                                                           
 0000903280吉 田 Ｔ Ｐ             014101001000000000022053101    021101010110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0012503286吉 田 Ｔ Ｐ             000101001000000000000000000    011101000110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 005020328Q吉 田 Ｔ Ｐ             014101001000000000000000000    011101010110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0004403290（ 株 ） 鈴 木 製 作 所     087101001000000000022053101    021101010110010050505050510101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000211                                                           
 0002603296（ 株 ） 鈴 木 製 作 所     000101001000000000000000000    011101010110010050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000211                                                           
 004840329Q（ 株 ） 鈴 木 製 作 所 　 　 000101002000000000000000000    011101010110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0013503310（ 株 ） 加 藤 製 作 所     000101001000000000000000000    011101000110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0038803316（ 株 ） 加 藤 製 作 所     000101001000000000000000000    011101000110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0002503330高 木 運 輸 穂 ノ 原 事 業 所 115101001000000000022053001    021101010110010050505050510101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111                                                           
 0056103333穂 ノ 原 事 業 所         115101001000000000022053001    021101011110000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0002703336高 木 運 輸 穂 ノ 原 事 業 所 000101001000000000000000000    011101010110010050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000112                                                           
 005090333K穂 ノ 原 事 業 所         000101001000000000000000000    010000000000000050505050510101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 004760333Q穂 ノ 原 事 業 所         000101001000000000000000000    011101010110010050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000212                                                           
 0001003350（ 有 ） 石 倉 製 作 所     063101001000000000016040601    011101000110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0015603370（ 有 ） 鈴 木 工 業 　     051101001000000000022053001    021101000110000050505050510101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0003603380（ 株 ） フ ク タ カ       080102002000000000022053102    021101110110010050505050510101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000211                                                           
 0011303381（ 株 ） フ ク タ カ       000104001000000000022031002    001101100110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0015003382㈱ フ ク タ カ  脱 脂      000101002000000000022053101    021101110110000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0009203383（ 株 ） フ ク タ カ       000101009000000000000000000    011101000110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0003803386（ 株 ） フ ク タ カ       000101002000000000000000000    011101010110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 004770338Q(株 ） フ ク タ カ        080102004000000000022053102    021101010110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0009803400(株 )瑞 穂 鉄 工 所       082201001220601000022053001    021101010110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 005030340Q(株 ） 瑞 穂 鉄 工 所      082201001000000000000000000    011101010110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0010403420（ 株 ） フ ク タ カ       000102003000000000014100701    011101000111000050505050510101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0010803430作 手 工 場             088101001000000000022053101    021101100110000050505050510101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0010703431作 手 工 場             000104001000000000018072602    000000000000000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0010903436作 手 工 場             000104001000000000000000000    011101000110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0020303437作 手 工 場        ｶｸﾀﾞｲ000101001000000000014100601    011101000110000050505050510101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0019903438作 手 工 場  ｺｰﾃｨﾝｸﾞ･ｱｽﾓ000101001000000000014100601    011101000110000050505050510101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0011103440（ 株 ） テ ィ ム ス       072101002000000000022053001    021101010110010050505050510101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000112                                                           
 0011203446（ 株 ） テ ィ ム ス       000101003000000000000000000    011101000110010050505050510101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000112                                                           
 0017003449（ 株 ） テ ィ ム ス       000101003000000000000000000    011101000110000050505050510101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
