かんＳＥＬＦ,仕入先,背番号,品番,収容数,ストアアドレス,回転枚数,読取枚数,発注枚数
02883,01010,  10,A1300-10113   ,00010,ｳﾝﾕｵﾄﾜ  ,0014,000,0000
25245,01010,    ,A1300-F0H98-00,00020,ｳﾝﾕｵﾄﾜ  ,0000,000,0000
00093,02010,U067,94223-61000-00,01750,03475   ,0001,000,0000
00102,02010,U068,94223-80600-00,04000,03475   ,0004,000,0002
00103,02010,U069,94223-80800-00,02500,03475   ,0024,000,0004
00117,02010,U070,94223-81000-00,01500,03475   ,0005,000,0000
00191,02010,J144,94223-80500-00,01500,02060   ,0002,000,0000
00273,02010,U018,94223-60800-00,03000,03475   ,0008,000,0000
00286,02010,U086,94223-80600-00,04000,03475   ,0000,000,0000
00643,02010,GS77,94223-61000-00,01750,03470   ,0002,000,0000
02311,02010,C006,94223-80800-00,02500,03100   ,0003,000,0000
02863,02010,F029,90174-11008-00,01000,03380   ,0006,000,0000
02910,02010,M003,94223-80800-00,02500,03180   ,0009,000,0000
03025,02010,TN03,94223-80600-00,04000,03190   ,0018,000,0000
03093,02010,X088,MB202531-0000 ,01200,03380   ,0001,000,0000
03147,02010,K048,94223-80500-00,01500,03330   ,0001,000,0000
03585,02010,M002,94223-60800-00,03000,03180   ,0013,000,0002
05517,02010,    ,94223-80500-00,06000,02060   ,0000,000,0000
07112,02010,M001,94223-60600-00,05000,03180   ,0008,000,0000
07894,02010,F050,94223-81000-00,01500,03380   ,0023,000,0000
07982,02010,TH01,94223-80600-00,04000,03440   ,0000,000,0000
08169,02010,C002,94223-60600-00,05000,03100   ,0001,000,0000
08287,02010,A093,94223-60600-00,05000,03132   ,0122,000,0024
08314,02010,A094,94223-60800-00,03000,03132   ,0012,000,0000
08323,02010,A095,94223-80800-00,02500,03132   ,0014,000,0000
08341,02010,GS12,94223-80600-00,04000,03470   ,0059,000,0019
08342,02010,GS13,94223-80800-00,02500,03470   ,0044,000,0017
08343,02010,GS14,94223-81000-00,01500,03470   ,0010,000,0001
08379,02010,A096,94223-80600-00,04000,03132   ,0002,000,0000
08402,02010,A097,94223-81000-00,01500,03132   ,0000,000,0000
08929,02010,U021,94223-81000-00,01500,03475   ,0008,000,0000
09145,02010,I001,90174-11008-00,01000,03070   ,0010,000,0000
10523,02010,X043,94223-80600-00,04000,03420   ,0007,000,0000
12939,02010,    ,94223-60600-00,05000,02060   ,0000,000,0000
13676,02010,C022,94223-80600-00,04000,03100   ,0003,000,0000
13810,02010,GS81,94223-80500-00,06000,03470   ,0012,000,0003
13879,02010,M037,94223-80600-00,04000,03180   ,0007,000,0001
14689,02010,GS82,90174-11008-00,01000,03470   ,0008,000,0001
15408,02010,    ,94223-80800-00,02500,        ,0000,000,0000
15625,02010,GS56,94223-60800-00,03000,03470   ,0000,000,0000
16431,02010,U084,94223-60800-00,03000,03475   ,0006,000,0001
17177,02010,M051,90174-11008-00,01000,03180   ,0000,000,0000
18732,02010,X149,94223-80500-00,06000,03380   ,0006,000,0000
18859,02010,C039,94223-60800-00,03000,03100   ,0002,000,0000
19244,02010,DUMM,10000-00000-00,00001,        ,0000,000,0000
19245,02010,DUMM,20000-00000-00,00001,        ,0000,000,0000
19246,02010,DUMM,30000-00000-00,00001,        ,0000,000,0000
20382,02010,U019,94223-80600-00,04000,03475   ,0012,000,0000
20383,02010,U020,94223-80800-00,02500,03475   ,0013,000,0000
21046,02010,    ,94223-80500-00,01500,        ,0000,000,0000
01007,02010,    ,94223-60800-00,03000,02060   ,0000,000,0000
02345,02010,    ,94223-80600-00,04000,02060   ,0000,000,0000
02425,02010,    ,90179-06030-00,04000,02060   ,0000,000,0000
04299,02010,    ,94220-00800-00,03000,03470   ,0000,000,0000
04340,02010,I126,94223-80500-00,06000,03070   ,0002,000,0000
10464,02010,J181,94223-81000-00,01500,02060   ,0000,000,0000
21150,02010,M023,90179-06030-00,04000,03180   ,0001,000,0000
23356,02010,  62,90174-11007-00,01600,ﾄA5-7-4 ,0003,000,0000
23359,02010,  79,90174-11008-00,01000,X21-35-2,0037,000,0008
23360,02010,  76,90179-06030-00,04000,FS01    ,0001,000,0000
23362,02010,  66,94223-60500-00,06000,FS05    ,0002,000,0000
23363,02010,  67,94223-60500-00,06000,FS07    ,0002,000,0000
