仕入先,仕入先名,かん件数,発注件数,カレンダーNo,サイクル,最終発注日,最終発注便,次回発注日,ポケットNo,ポストNo,発注ファイル作成フラグ,納品書フラグ,かん明細フラグ,かん明細控フラグ,0件明細フラグ,箱種一覧フラグ,FAX送信フラグ,受領書フラグ,納入遅延フラグ,納品書明細点数(号口),発注帳票出力先,発注実績作成フラグ,受入実績作成フラグ,E-MAIL発注実績フラグ,E-MAIL受入実績フラグ,発注時間0,発注時間1,発注時間2,発注時間3,発注時間4,発注時間5,発注時間6,発注時間7,発注時間8,発注時間9,発注時間10,発注時間11,発注時間12,発注時間13,発注時間14,発注時間15,発注時間16,発注時間17,発注時間18,発注時間19,発注時間20,発注時間21,発注時間22,発注時間23,工場コード,支給明細フラグ,支給0件明細フラグ,支給実績作成フラグ,E-MAIL支給実績フラグ,E-MAIL実績変換フラグ,E-MAIL実績UPフラグ,E-MAIL実績明細フラグ,引き込みラベル色区分,指示納品書明細点数,都度納品書明細点数,臨時納品書明細点数,トンネル納品書明細点数
01010,豊通ﾆｭｰﾊﾟｯｸ/ﾚﾝｺﾞｰ(株,2,0,1,501001,160331,1,160407,89,    ,1,1,1,0,0,0,0,1,0,5,1,0,1,0,0,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,1,0,0,0,0,0,0,0,0,5,5,5,5
02010,美和工販（株）      ,116,117,1,101001,210825,1,000000,79,    ,1,1,1,0,0,0,0,1,0,5,1,0,1,0,0,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,1,0,0,1,0,0,0,0,0,5,5,5,5
02016,美和工販（株）      ,12,2,1,101001,000000,0,000000,0,    ,1,1,1,0,0,0,0,1,0,5,1,0,1,0,0,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,1,0,0,0,0,0,0,0,0,5,5,5,5
02030,三陽工業（株）      ,22,10,2,101001,210825,1,000000,66,    ,1,1,1,0,0,0,0,1,0,5,1,0,1,0,0,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,1,0,0,1,0,0,0,0,0,5,5,5,5
02036,三陽工業（株）      ,1,0,1,101001,000000,0,000000,0,    ,1,1,1,0,0,0,0,1,0,5,1,0,1,0,0,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,1,0,0,1,0,0,0,0,0,5,5,5,5
02040,（株）青山製作所    ,963,624,2,101002,210825,1,990115,70,    ,1,9,1,0,1,0,0,1,0,5,1,0,1,0,0,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,1,0,0,1,0,0,0,0,0,5,5,5,5
02046,（株）青山製作所    ,1,0,1,101002,000000,0,000000,0,    ,1,1,1,0,1,0,0,1,0,5,1,0,1,0,0,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,1,0,0,1,0,0,0,0,0,5,5,5,5
02049,（株）青山製作所    ,3,0,1,101002,000000,0,000000,0,    ,0,0,1,0,0,0,0,0,0,5,1,0,1,0,0,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,1,0,0,0,0,0,0,0,0,5,5,5,5
0204Q,(株）青山製作所     ,1,0,1,101002,000000,0,000000,70,    ,1,9,1,0,1,0,0,1,0,5,1,0,1,0,0,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,1,0,0,1,0,0,0,0,0,5,5,5,5
02050,共栄金属株式会社    ,119,34,2,101002,210824,1,990120,76,    ,1,1,1,0,0,0,0,1,0,5,1,0,1,1,0,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,1,1,0,1,0,2,1,0,0,5,5,5,5
